Iteration;Accuracy
1.0;0.7777777910232544
2.0;0.8571428656578064
3.0;0.9047619104385376
4.0;0.8571428656578064
5.0;0.8888888955116272
6.0;0.9047619104385376
7.0;0.9365079402923584
8.0;0.9365079402923584
9.0;0.9682539701461792
10.0;0.9365079402923584
11.0;0.9047619104385376
12.0;0.9682539701461792
13.0;0.9523809552192688
14.0;0.9365079402923584
15.0;0.9841269850730896
16.0;0.9841269850730896
17.0;0.9841269850730896
18.0;0.9365079402923584
19.0;0.9841269850730896
20.0;0.9682539701461792
21.0;1.0
22.0;0.9841269850730896
23.0;1.0
24.0;1.0
25.0;1.0
26.0;0.9523809552192688
27.0;1.0
28.0;0.9841269850730896
29.0;1.0
30.0;1.0
31.0;1.0
32.0;1.0
33.0;1.0
34.0;1.0
35.0;1.0
36.0;1.0
37.0;1.0
38.0;1.0
39.0;1.0
40.0;1.0
41.0;1.0
42.0;1.0
43.0;1.0
44.0;1.0
45.0;1.0
46.0;1.0
47.0;1.0
48.0;1.0
49.0;1.0
50.0;1.0
51.0;1.0
52.0;1.0
53.0;1.0
54.0;1.0
55.0;1.0
56.0;1.0
57.0;1.0
58.0;1.0
59.0;1.0
60.0;1.0
61.0;1.0
62.0;1.0
63.0;1.0
64.0;1.0
65.0;1.0
66.0;1.0
67.0;1.0
68.0;1.0
69.0;1.0
70.0;1.0
71.0;1.0
72.0;1.0
73.0;1.0
74.0;1.0
75.0;1.0
76.0;1.0
77.0;1.0
78.0;1.0
79.0;1.0
80.0;1.0
81.0;1.0
82.0;1.0
83.0;1.0
84.0;1.0
85.0;1.0
86.0;1.0
87.0;1.0
88.0;1.0
89.0;1.0
90.0;1.0
91.0;1.0
92.0;1.0
93.0;1.0
94.0;1.0
95.0;1.0
96.0;1.0
97.0;1.0
98.0;1.0
99.0;1.0
100.0;1.0
