Iteration;Accuracy
2.0;0.140625
3.0;0.125
4.0;0.21875
5.0;0.3125
6.0;0.21875
7.0;0.296875
8.0;0.46875
9.0;0.34375
10.0;0.40625
11.0;0.4375
12.0;0.515625
13.0;0.53125
14.0;0.53125
15.0;0.484375
16.0;0.546875
17.0;0.609375
18.0;0.625
19.0;0.640625
20.0;0.625
21.0;0.671875
22.0;0.75
23.0;0.703125
24.0;0.625
25.0;0.8125
26.0;0.703125
27.0;0.78125
28.0;0.703125
29.0;0.703125
30.0;0.75
31.0;0.75
32.0;0.734375
33.0;0.875
34.0;0.875
35.0;0.84375
36.0;0.796875
37.0;0.75
38.0;0.875
39.0;0.703125
40.0;0.765625
41.0;0.765625
42.0;0.796875
43.0;0.796875
44.0;0.875
45.0;0.734375
46.0;0.828125
47.0;0.859375
48.0;0.75
49.0;0.546875
50.0;0.734375
51.0;0.71875
52.0;0.8125
53.0;0.796875
54.0;0.8125
55.0;0.828125
56.0;0.859375
57.0;0.84375
58.0;0.828125
59.0;0.875
60.0;0.796875
61.0;0.8125
62.0;0.828125
63.0;0.875
64.0;0.84375
65.0;0.828125
66.0;0.828125
67.0;0.875
68.0;0.890625
69.0;0.84375
70.0;0.78125
71.0;0.75
72.0;0.84375
73.0;0.765625
74.0;0.9375
75.0;0.9375
76.0;0.796875
77.0;0.875
78.0;0.78125
79.0;0.796875
80.0;0.828125
81.0;0.78125
82.0;0.875
83.0;0.796875
84.0;0.875
85.0;0.890625
86.0;0.828125
87.0;0.890625
88.0;0.84375
89.0;0.828125
90.0;0.890625
91.0;0.84375
92.0;0.921875
93.0;0.875
94.0;0.875
95.0;0.890625
96.0;0.875
97.0;0.859375
98.0;0.90625
99.0;0.875
100.0;0.84375
101.0;0.890625
102.0;0.921875
103.0;0.859375
104.0;0.8125
105.0;0.8125
106.0;0.859375
107.0;0.890625
108.0;0.921875
109.0;0.890625
110.0;0.828125
111.0;0.859375
112.0;0.9375
113.0;0.859375
114.0;0.90625
115.0;0.890625
116.0;0.828125
117.0;0.921875
118.0;0.84375
119.0;0.921875
120.0;0.84375
121.0;0.890625
122.0;0.84375
123.0;0.875
124.0;0.90625
125.0;0.84375
126.0;0.875
127.0;0.84375
128.0;0.859375
129.0;0.796875
130.0;0.859375
131.0;0.9375
132.0;0.859375
133.0;0.859375
134.0;0.890625
135.0;0.84375
136.0;0.859375
137.0;0.90625
138.0;0.890625
139.0;0.84375
140.0;0.875
141.0;0.90625
142.0;0.9375
143.0;0.9375
144.0;0.9375
145.0;0.9375
146.0;0.921875
147.0;0.9375
148.0;0.90625
149.0;0.859375
150.0;0.859375
151.0;0.890625
152.0;0.859375
153.0;0.90625
154.0;0.921875
155.0;0.90625
156.0;0.859375
157.0;0.84375
158.0;0.796875
159.0;0.921875
160.0;0.828125
161.0;0.921875
162.0;0.9375
163.0;0.90625
164.0;0.90625
165.0;0.765625
166.0;0.875
167.0;0.875
168.0;0.859375
169.0;0.921875
170.0;0.890625
171.0;0.90625
172.0;0.859375
173.0;0.875
174.0;0.859375
175.0;0.90625
176.0;0.90625
177.0;0.859375
178.0;0.9375
179.0;0.921875
180.0;0.90625
181.0;0.90625
182.0;0.890625
183.0;0.84375
184.0;0.84375
185.0;0.96875
186.0;0.859375
187.0;0.90625
188.0;0.96875
189.0;0.875
190.0;0.9375
191.0;0.953125
192.0;0.890625
193.0;0.890625
194.0;0.90625
195.0;0.875
196.0;0.84375
197.0;0.875
198.0;0.890625
199.0;0.875
200.0;0.84375
201.0;0.859375
202.0;0.96875
203.0;0.90625
204.0;0.875
205.0;0.84375
206.0;0.90625
207.0;0.890625
208.0;0.890625
209.0;0.90625
210.0;0.890625
211.0;0.921875
212.0;0.90625
213.0;0.890625
214.0;0.90625
215.0;0.875
216.0;0.90625
217.0;0.953125
218.0;0.890625
219.0;0.875
220.0;0.890625
221.0;0.84375
222.0;0.859375
223.0;0.84375
224.0;0.859375
225.0;0.890625
226.0;0.828125
227.0;0.90625
228.0;0.9375
229.0;0.9375
230.0;0.8125
231.0;0.765625
232.0;0.859375
233.0;0.921875
234.0;0.953125
235.0;0.90625
236.0;0.90625
237.0;0.921875
238.0;0.90625
239.0;0.8125
240.0;0.8125
241.0;0.84375
242.0;0.828125
243.0;0.90625
244.0;0.84375
245.0;0.921875
246.0;0.921875
247.0;0.875
248.0;0.890625
249.0;0.875
250.0;0.921875
251.0;0.96875
252.0;0.921875
253.0;0.921875
254.0;0.875
255.0;0.921875
256.0;0.921875
257.0;0.875
258.0;0.90625
259.0;0.859375
260.0;0.9375
261.0;0.875
262.0;0.90625
263.0;0.9375
264.0;0.921875
265.0;0.90625
266.0;0.921875
267.0;0.890625
268.0;0.921875
269.0;0.90625
270.0;0.890625
271.0;0.890625
272.0;0.9375
273.0;0.921875
274.0;0.921875
275.0;0.90625
276.0;0.921875
277.0;0.921875
278.0;0.875
279.0;0.875
280.0;0.90625
281.0;0.984375
282.0;0.921875
283.0;0.9375
284.0;0.9375
285.0;0.921875
286.0;0.890625
287.0;0.953125
288.0;0.859375
289.0;0.96875
290.0;0.953125
291.0;0.921875
292.0;0.953125
293.0;0.90625
294.0;0.96875
295.0;0.953125
296.0;0.90625
297.0;0.953125
298.0;0.921875
299.0;0.921875
300.0;0.953125
301.0;0.9375
302.0;0.859375
303.0;0.953125
304.0;0.90625
305.0;0.921875
306.0;0.921875
307.0;0.890625
308.0;0.953125
309.0;0.953125
310.0;0.9375
311.0;0.9375
312.0;0.90625
313.0;0.859375
314.0;0.9375
315.0;0.90625
316.0;0.984375
317.0;0.90625
318.0;0.953125
319.0;0.890625
320.0;0.875
321.0;0.828125
322.0;0.9375
323.0;0.921875
324.0;0.90625
325.0;0.9375
326.0;0.90625
327.0;0.953125
328.0;0.9375
329.0;0.921875
330.0;0.90625
331.0;0.875
332.0;0.9375
333.0;0.96875
334.0;0.953125
335.0;0.859375
336.0;0.90625
337.0;0.9375
338.0;0.890625
339.0;0.921875
340.0;0.921875
341.0;0.890625
342.0;0.890625
343.0;0.953125
344.0;0.921875
345.0;0.90625
346.0;0.890625
347.0;0.921875
348.0;0.90625
349.0;0.890625
350.0;0.890625
351.0;0.921875
352.0;0.890625
353.0;0.96875
354.0;0.921875
355.0;0.875
356.0;0.984375
357.0;0.859375
358.0;0.890625
359.0;0.875
360.0;0.921875
361.0;0.953125
362.0;0.96875
363.0;0.828125
364.0;0.875
365.0;0.953125
366.0;0.859375
367.0;0.90625
368.0;0.9375
369.0;0.96875
370.0;0.984375
371.0;0.953125
372.0;0.84375
373.0;0.90625
374.0;0.90625
375.0;0.921875
376.0;0.90625
377.0;0.9375
378.0;0.9375
379.0;0.9375
380.0;0.90625
381.0;0.921875
382.0;0.890625
383.0;0.90625
384.0;0.890625
385.0;0.90625
386.0;0.890625
387.0;0.859375
388.0;0.8125
389.0;0.984375
390.0;0.921875
391.0;0.796875
392.0;0.890625
393.0;0.953125
394.0;0.90625
395.0;0.953125
396.0;0.953125
397.0;0.90625
398.0;0.9375
399.0;0.953125
400.0;0.90625
401.0;0.875
402.0;0.953125
403.0;0.921875
404.0;0.921875
405.0;0.953125
406.0;0.984375
407.0;0.84375
408.0;0.9375
409.0;0.890625
410.0;0.921875
411.0;0.921875
412.0;0.953125
413.0;0.90625
414.0;0.9375
415.0;0.921875
416.0;0.90625
417.0;0.921875
418.0;0.828125
419.0;0.90625
420.0;0.921875
421.0;0.921875
422.0;0.9375
423.0;0.890625
424.0;0.890625
425.0;0.890625
426.0;0.921875
427.0;0.953125
428.0;0.9375
429.0;0.953125
430.0;0.890625
431.0;0.9375
432.0;0.859375
433.0;0.96875
434.0;0.921875
435.0;0.90625
436.0;0.953125
437.0;0.90625
438.0;1.0
439.0;0.9375
440.0;0.953125
441.0;0.921875
442.0;0.890625
443.0;0.828125
444.0;0.890625
445.0;0.90625
446.0;0.9375
447.0;0.9375
448.0;0.875
449.0;0.921875
450.0;0.921875
451.0;0.90625
452.0;0.890625
453.0;0.984375
454.0;0.921875
455.0;0.875
456.0;0.9375
457.0;0.875
458.0;0.9375
459.0;0.90625
460.0;0.890625
461.0;0.9375
462.0;0.890625
463.0;0.9375
464.0;0.953125
465.0;0.96875
466.0;0.875
467.0;0.984375
468.0;0.921875
469.0;0.890625
470.0;0.984375
471.0;0.953125
472.0;0.921875
473.0;0.90625
474.0;0.9375
475.0;0.90625
476.0;0.9375
477.0;0.90625
478.0;0.9375
479.0;0.921875
480.0;0.890625
481.0;0.9375
482.0;0.921875
483.0;0.953125
484.0;0.921875
485.0;0.921875
486.0;0.921875
487.0;0.875
488.0;0.96875
489.0;0.921875
490.0;0.921875
491.0;0.90625
492.0;0.9375
493.0;0.9375
494.0;0.9375
495.0;0.9375
496.0;0.921875
497.0;0.953125
498.0;0.875
499.0;0.9375
500.0;0.9375
501.0;0.875
502.0;0.984375
503.0;0.921875
504.0;0.90625
505.0;0.921875
506.0;0.921875
507.0;0.921875
508.0;0.953125
509.0;0.90625
510.0;0.890625
511.0;0.953125
